"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases"
"6644","Kosovo",2020-05-17,117,955,11,29,0,691,1,235
"6750","Kuwait",2020-05-17,117,14850,1048,112,5,4093,250,10645
"6788","Kyrgyzstan",2020-05-17,117,1138,21,14,0,804,21,320
"6892","Lao People's Democratic Republic",2020-05-17,117,19,0,0,0,14,0,5
"6928","Latvia",2020-05-17,117,1008,11,19,0,662,0,327
"7015","Lebanon",2020-05-17,117,911,9,26,0,247,0,638
"7061","Lesotho",2020-05-17,117,1,0,0,0,0,0,1
"7121","Liberia",2020-05-17,117,226,3,21,1,120,4,85
"7155","Libya",2020-05-17,117,65,0,3,0,35,7,27
"7194","Liechtenstein",2020-05-17,117,82,0,1,0,55,0,26
"7308","Lithuania",2020-05-17,117,1541,7,56,1,997,9,488
"7348","Luxembourg",2020-05-17,117,3945,15,107,3,3702,3,136
"7488","Macao",2020-05-17,117,45,0,0,0,44,0,1
"7589","Madagascar",2020-05-17,117,304,21,1,1,114,0,189
"7616","Mainland China",2020-05-17,117,82954,7,4634,0,78238,11,82
"7737","Malawi",2020-05-17,117,70,5,3,0,27,3,40
"7766","Malaysia",2020-05-17,117,6894,22,113,0,5571,59,1210
"7868","Maldives",2020-05-17,117,1094,16,4,0,58,0,1032
"7942","Mali",2020-05-17,117,860,25,52,4,494,15,314
